country,iso3,original_bloc,population_2024,gdp_2022_ppp_2011_intl_usd,co2_2024_mt,cumulative_co2_through_2024_mt,loan_eligible,member_74_country_ldc_aosis_coalition,member_20_country_selected_coalition,co2_per_capita_2024_t,cumulative_co2_per_capita_t,gdp_per_capita_2022_ppp_2011_intl_usd,cpi_country,cpi_match_found,alias_applied,cpi_needs_quantified,cpi_data_coverage,cpi_thematic_coverage,ndc_publication_year,ndc_source_url,adaptation_need_2024_2035_usd_bn,conditional_need_all_objectives_usd_bn,unconditional_need_all_objectives_usd_bn,unspecified_need_all_objectives_usd_bn,classified_total_need_all_objectives_usd_bn,conditional_share_all_objectives,external_support_gap_proxy_2024_2035_usd_bn
Dominican Republic,DOM,Global South & Climate-Vulnerable Coalition,11427558,191182362267,33.1,869.2,False,True,True,2.896506847744724,76.06174477521795,16729.940225812024,Dominican Republic,True,False,Yes,Fully costed,Both mitigation and adaptation,2020.0,https://unfccc.int/sites/default/files/NDC/2022-06/Dominican%20Republic%20First%20NDC%20%28Updated%20Submission%29.pdf,7.182857191143501,0.0,0.0,15.055579528169579,15.055579528169579,0.0,0.0
East Timor,TLS,Global South & Climate-Vulnerable Coalition,1400638,,0.7,12.1,False,True,False,0.49977224664759917,8.638920263479928,,Timor-Leste,True,True,No,No needs quantified,,2022.0,https://unfccc.int/sites/default/files/NDC/2022-11/Timor_Leste%20Updated%20NDC%202022_2030.pdf,,0.0,0.0,0.0,0.0,,
Eritrea,ERI,Global South & Climate-Vulnerable Coalition,3535610,,0.7,19.1,False,True,False,0.19798563755617843,5.402179539032868,,Eritrea,True,False,Yes,Fully costed,Both mitigation and adaptation,2018.0,https://unfccc.int/sites/default/files/NDC/2022-06/NRC%20Eritrea.pdf,5.415339379771825,6.238026186446415,2.7919151663343804,0.0,9.029941352780796,0.6908158029758851,3.741002022024005
Ethiopia,ETH,Global South & Climate-Vulnerable Coalition,132059770,269977225159,17.8,330.2,False,True,False,0.13478745268146386,2.500382970529178,2044.3563180444733,Ethiopia,True,False,Yes,Fully costed,Both mitigation and adaptation,2025.0,https://unfccc.int/sites/default/files/2025-09/Ethiopia%20NDC%203.0%20Final.pdf ,38.01272577649201,0.0,0.0,101.06633465824815,101.06633465824815,0.0,0.0
Fiji,FJI,Global South & Climate-Vulnerable Coalition,928800,,1.4,54.1,False,True,False,1.5073212747631353,58.24720068906115,,Fiji,True,False,Yes,Fully costed,Mitigation only,2020.0,https://unfccc.int/sites/default/files/NDC/2022-06/Republic%20of%20Fiji%27s%20Updated%20NDC%2020201.pdf,,1.8459630793080941,0.0,0.0,1.8459630793080941,1.0,
Gambia,GMB,Global South & Climate-Vulnerable Coalition,2759999,4656793663,0.8,17.7,False,True,False,0.28985517748375994,6.413045801828189,1687.244692117642,Gambia,True,False,Yes,Fully costed,Both mitigation and adaptation,2021.0,https://unfccc.int/sites/default/files/NDC/2022-06/Second%20NDC%20of%20The%20Republic%20of%20The%20Gambia-16-12-2021.pdf,0.1526469317668283,0.17580316745880362,0.0,0.0,0.17580316745880362,1.0,0.1526469317668283
Grenada,GRD,Global South & Climate-Vulnerable Coalition,117218,,0.4,9.6,False,True,True,3.4124451875991744,81.89868450238018,,Grenada,True,False,Yes,Fully costed,Mitigation only,2020.0,https://unfccc.int/sites/default/files/NDC/2022-06/GrenadaSecondNDC2020%20-%2001-12-20.pdf,,0.0,0.0,0.7639595218132154,0.7639595218132154,0.0,
Guinea,GIN,Global South & Climate-Vulnerable Coalition,14754779,23678257190,4.0,105.9,False,True,False,0.27109860473003355,7.177335560227639,1604.7856216619714,Guinea,True,False,Yes,Fully costed,Both mitigation and adaptation,2021.0,https://unfccc.int/sites/default/files/NDC/2022-06/CDN%20GUINEE%202021_REVISION_VF.pdf,0.7871402738310513,0.0,0.0,11.649676052699563,11.649676052699563,0.0,0.0
Guinea-Bissau,GNB,Global South & Climate-Vulnerable Coalition,2201360,3259313986,0.3,8.3,False,True,False,0.1362793909219755,3.770396482174656,1480.5910827851874,Guinea-Bissau,True,False,Yes,Fully costed,Mitigation only,2021.0,https://unfccc.int/sites/default/files/NDC/2022-06/NDC-Guinea%20Bissau-12102021.Final.pdf,,0.40144153965383617,0.09517241492684528,0.0,0.49661395458068147,0.80835734870317,
Guyana,GUY,Global South & Climate-Vulnerable Coalition,831092,,4.5,117.3,False,True,False,5.414563008668114,141.1396090926155,,Guyana,True,False,Yes,Fully costed,Adaptation only,2016.0,https://unfccc.int/sites/default/files/NDC/2022-06/Guyana%27s%20revised%20NDC%20-%20Final.pdf,0.40625748415671215,0.40625748415671215,0.0,0.0,0.40625748415671215,1.0,0.40625748415671215
