country,iso3,original_bloc,population_2024,gdp_2022_ppp_2011_intl_usd,co2_2024_mt,cumulative_co2_through_2024_mt,loan_eligible,member_74_country_ldc_aosis_coalition,member_20_country_selected_coalition,co2_per_capita_2024_t,cumulative_co2_per_capita_t,gdp_per_capita_2022_ppp_2011_intl_usd,cpi_country,cpi_match_found,alias_applied,cpi_needs_quantified,cpi_data_coverage,cpi_thematic_coverage,ndc_publication_year,ndc_source_url,adaptation_need_2024_2035_usd_bn,conditional_need_all_objectives_usd_bn,unconditional_need_all_objectives_usd_bn,unspecified_need_all_objectives_usd_bn,classified_total_need_all_objectives_usd_bn,conditional_share_all_objectives,external_support_gap_proxy_2024_2035_usd_bn
Madagascar,MDG,Global South & Climate-Vulnerable Coalition,31964960,38602188321,4.5,112.7,False,True,False,0.14077915317272413,3.5257356805702242,1207.6407516543115,Madagascar,True,False,Yes,Fully costed,Both mitigation and adaptation,2024.0,https://unfccc.int/documents/636850,8.796982792227686,15.751181274748062,0.571286367477909,0.0,16.32246764222597,0.9650000000000001,8.489088394499717
Malawi,MWI,Global South & Climate-Vulnerable Coalition,21655288,26465351444,1.9,57.6,False,True,False,0.08773838519256821,2.6598584142589097,1222.1195785528228,Malawi,True,False,Yes,Fully costed,Both mitigation and adaptation,2021.0,https://unfccc.int/sites/default/files/NDC/2022-06/Malawi%20Updated%20NDC%20July%202021%20submitted.pdf,2.936300956176839,13.930026780683859,7.62757131307806,0.32128174442083735,21.878879838182755,0.6366882986565585,1.8695084601318577
Maldives,MDV,Global South & Climate-Vulnerable Coalition,527801,,2.3,33.7,False,True,True,4.357702997910197,63.84982218677115,,Maldives,True,False,No,No needs quantified,,2025.0,https://unfccc.int/sites/default/files/2025-02/Maldives%E2%80%99%20Third%20Nationally%20Determined%20Contribution.pdf,,0.0,0.0,0.0,0.0,,
Mali,MLI,Global South & Climate-Vulnerable Coalition,24478597,30551085997,7.0,100.2,False,True,False,0.2859641016190593,4.093371854604249,1248.0734086598181,Mali,True,False,Yes,Fully costed,Both mitigation and adaptation,2021.0,https://unfccc.int/documents/499564,5.218024433432753,0.0,0.0,10.115468100796132,10.115468100796132,0.0,0.0
Marshall Islands,MHL,Global South & Climate-Vulnerable Coalition,37572,,0.2,4.0,False,True,False,5.323112956456936,106.46225912913872,,Marshall Islands,True,False,No,No needs quantified,,2025.0,https://unfccc.int/sites/default/files/2025-02/Republic%20of%20the%20Marshall%20Islands%20NDC%203.0.pdf,,0.0,0.0,0.0,0.0,,
Mauritania,MRT,Global South & Climate-Vulnerable Coalition,5169403,15674544913,5.2,99.9,False,True,False,1.0059188652925686,19.325248969755307,3032.1770063196855,Mauritania,True,False,Yes,Fully costed,Both mitigation and adaptation,2021.0,https://unfccc.int/sites/default/files/NDC/2022-06/CDN-actualis%C3%A9%202021_%20Mauritania.pdf,8.606316970554943,8.451479788000048,0.3556535899250839,24.17709513716715,32.98422851509228,0.256227905531669,2.2051785717069516
Mauritius,MUS,Global South & Climate-Vulnerable Coalition,1271171,26988574640,4.7,133.2,False,True,True,3.6973782441544056,104.78527279178016,21231.269939292197,Mauritius,True,False,Yes,Fully costed,Both mitigation and adaptation,2025.0,https://unfccc.int/sites/default/files/2025-09/NDC%203.0%20%20Mauritius.pdf,,0.747862366926704,0.31160931955279336,0.0,1.0594716864794975,0.7058823529411764,
Micronesia (country),FSM,Global South & Climate-Vulnerable Coalition,113171,,0.2,4.9,False,True,False,1.7672371897394208,43.29731114861581,,Micronesia (Federated States of),True,True,Yes,Fully costed,Both mitigation and adaptation,2025.0,https://unfccc.int/sites/default/files/2025-09/FSM%20NDC%203.0.pdf,1.1046498110648582,0.0,0.0,1.3327261657238103,1.3327261657238103,0.0,0.0
Mozambique,MOZ,Global South & Climate-Vulnerable Coalition,34631767,31441725629,8.6,211.2,False,True,False,0.24832691903938947,6.098447128037099,907.8868435734163,Mozambique,True,False,Yes,Fully costed,Both mitigation and adaptation,2021.0,https://unfccc.int/sites/default/files/NDC/2022-06/NDC_EN_Final.pdf,,0.0,0.0,3.4121406384470605,3.4121406384470605,0.0,
Myanmar,MMR,Global South & Climate-Vulnerable Coalition,54500086,291025085135,31.6,727.9,False,True,False,0.5798155988230917,13.355942227320522,5339.901392724408,Myanmar,True,False,Yes,Partially costed,Both mitigation and adaptation,2021.0,https://unfccc.int/sites/default/files/NDC/2022-06/Myanmar%20Updated%20%20NDC%20July%202021.pdf,0.0002282706794110049,1.7531178620633279,2.4850018444846294,0.0018741094337850215,4.239993815981742,0.413471796929356,9.438348800235313e-05
Nauru,NRU,Global South & Climate-Vulnerable Coalition,11968,,0.1,5.1,False,True,False,8.355614973262032,426.1363636363636,,Nauru,True,False,Yes,Partially costed,Both mitigation and adaptation,2021.0,https://unfccc.int/sites/default/files/NDC/2022-06/Nauru%20Updated%20NDC%20pdf.pdf,0.0004171843451304572,0.02427934174631878,0.0009744796590028415,0.0,0.025253821405321623,0.9614125861047906,0.0004010862801343064
Nepal,NPL,Global South & Climate-Vulnerable Coalition,29651054,95965910597,18.8,232.1,False,True,False,0.6340415419971243,7.827714994549604,3236.5092518127685,Nepal,True,False,Yes,Fully costed,Both mitigation and adaptation,2025.0,https://unfccc.int/sites/default/files/2025-05/Nepal%20NDC3.pdf,0.05416813423150113,65.76093223064656,23.915725428642844,0.05416813423150113,89.7308257935209,0.7328689070795879,0.03969814133278064
