country,iso3,original_bloc,population_2024,gdp_2022_ppp_2011_intl_usd,co2_2024_mt,cumulative_co2_through_2024_mt,loan_eligible,member_74_country_ldc_aosis_coalition,member_20_country_selected_coalition,co2_per_capita_2024_t,cumulative_co2_per_capita_t,gdp_per_capita_2022_ppp_2011_intl_usd,cpi_country,cpi_match_found,alias_applied,cpi_needs_quantified,cpi_data_coverage,cpi_thematic_coverage,ndc_publication_year,ndc_source_url,adaptation_need_2024_2035_usd_bn,conditional_need_all_objectives_usd_bn,unconditional_need_all_objectives_usd_bn,unspecified_need_all_objectives_usd_bn,classified_total_need_all_objectives_usd_bn,conditional_share_all_objectives,external_support_gap_proxy_2024_2035_usd_bn,scenario,finance_instrument_group,adaptation_need_annual_average_usd_bn,external_support_gap_proxy_annual_average_usd_bn
Mauritania,MRT,Global South & Climate-Vulnerable Coalition,5169403.0,15674544913.0,5.2,99.9,False,True,False,1.0059188652925686,19.325248969755307,3032.177006319685,Mauritania,True,False,Yes,Fully costed,Both mitigation and adaptation,2021.0,https://unfccc.int/sites/default/files/NDC/2022-06/CDN-actualis%C3%A9%202021_%20Mauritania.pdf,8.606316970554943,8.451479788000048,0.3556535899250839,24.17709513716715,32.98422851509228,0.256227905531669,2.205178571706952,74-country LDC+AOSIS coalition,Grant-priority,0.7171930808795786,0.18376488097557933
Afghanistan,AFG,Global South & Climate-Vulnerable Coalition,42647502.0,53303471617.0,10.8,242.6,False,True,False,0.2532387477231375,5.688492610891958,1249.8615186652669,Afghanistan,True,False,Yes,Fully costed,Both mitigation and adaptation,2016.0,https://unfccc.int/sites/default/files/NDC/2022-06/INDC_AFG_20150927_FINAL.pdf,8.080124980636977,12.290630533829356,0.0,0.0,12.290630533829356,1.0,8.080124980636977,74-country LDC+AOSIS coalition,Grant-priority,0.6733437483864148,0.6733437483864148
Dominican Republic,DOM,Global South & Climate-Vulnerable Coalition,11427558.0,191182362267.0,33.1,869.2,False,True,True,2.896506847744724,76.06174477521795,16729.940225812024,Dominican Republic,True,False,Yes,Fully costed,Both mitigation and adaptation,2020.0,https://unfccc.int/sites/default/files/NDC/2022-06/Dominican%20Republic%20First%20NDC%20%28Updated%20Submission%29.pdf,7.182857191143501,0.0,0.0,15.05557952816958,15.05557952816958,0.0,0.0,74-country LDC+AOSIS coalition,Grant-priority,0.5985714325952918,0.0
Somalia,SOM,Global South & Climate-Vulnerable Coalition,19009155.0,,1.3,41.9,False,True,False,0.0683881003653239,2.2042010810054418,,Somalia,True,False,Yes,Fully costed,Both mitigation and adaptation,2025.0,https://unfccc.int/sites/default/files/2025-06/Somalia%20NDC%203.0_submitted%20final.pdf,5.635386596364941,4.652291979151862,0.2606751179667272,6.015513854129861,10.92848095124845,0.4257034440473076,2.39900348261059,74-country LDC+AOSIS coalition,Grant-priority,0.4696155496970784,0.19991695688421585
Eritrea,ERI,Global South & Climate-Vulnerable Coalition,3535610.0,,0.7,19.1,False,True,False,0.1979856375561784,5.402179539032868,,Eritrea,True,False,Yes,Fully costed,Both mitigation and adaptation,2018.0,https://unfccc.int/sites/default/files/NDC/2022-06/NRC%20Eritrea.pdf,5.415339379771825,6.238026186446415,2.7919151663343804,0.0,9.029941352780796,0.6908158029758851,3.741002022024005,74-country LDC+AOSIS coalition,Grant-priority,0.4512782816476521,0.3117501685020004
Niger,NER,Global South & Climate-Vulnerable Coalition,27032417.0,24776754234.0,3.2,61.5,False,True,False,0.1183763923144571,2.275046289793473,916.5571185883972,Niger,True,False,Yes,Fully costed,Both mitigation and adaptation,2021.0,https://unfccc.int/sites/default/files/NDC/2022-06/CDN_Niger_R%C3%A9vis%C3%A9e_2021.pdf,5.307686866442779,5.7425031537070526,2.056561393438388,0.0,7.79906454714544,0.7363066581887546,3.9080851793428257,74-country LDC+AOSIS coalition,Grant-priority,0.4423072388702316,0.3256737649452355
Mali,MLI,Global South & Climate-Vulnerable Coalition,24478597.0,30551085997.0,7.0,100.2,False,True,False,0.2859641016190593,4.093371854604249,1248.073408659818,Mali,True,False,Yes,Fully costed,Both mitigation and adaptation,2021.0,https://unfccc.int/documents/499564,5.218024433432753,0.0,0.0,10.115468100796132,10.115468100796132,0.0,0.0,74-country LDC+AOSIS coalition,Grant-priority,0.4348353694527294,0.0
Chad,TCD,Global South & Climate-Vulnerable Coalition,20299131.0,24118013870.0,2.8,51.3,False,True,False,0.1379369392709471,2.5272017802141384,1188.1303623293036,Chad,True,False,Yes,Fully costed,Both mitigation and adaptation,2021.0,https://unfccc.int/sites/default/files/NDC/2022-06/CDN%20ACTUALISEE%20DU%20TCHAD.pdf,3.937433077757684,7.46256748018897,1.2811817108804398,0.0,8.74374919106941,0.8534745584664072,3.3604989575302664,74-country LDC+AOSIS coalition,Grant-priority,0.32811942314647363,0.28004157979418887
Rwanda,RWA,Global South & Climate-Vulnerable Coalition,14256573.0,28466253314.0,2.0,37.3,False,True,False,0.1402861683519594,2.616337039764044,1996.7108023786643,Rwanda,True,False,Yes,Fully costed,Both mitigation and adaptation,2020.0,https://unfccc.int/sites/default/files/NDC/2022-06/Rwanda_Updated_NDC_May_2020.pdf,3.796918459673921,1.358768351229276,2.2574077301237607,4.083262805302057,7.699438886655094,0.1764762823930371,0.6700660543127505,74-country LDC+AOSIS coalition,Grant-priority,0.3164098716394934,0.05583883785939587
Senegal,SEN,Global South & Climate-Vulnerable Coalition,18501988.0,51913993763.0,14.1,300.6,False,True,False,0.7620802694283447,16.246902765259602,2805.860308794925,Senegal,True,False,Yes,Fully costed,Both mitigation and adaptation,2021.0,https://unfccc.int/sites/default/files/NDC/2022-06/CDNSenegal%20approuv%C3%A9e-pdf-.pdf,3.0895427931225754,5.856010686788535,3.343593347655306,0.0,9.19960403444384,0.636550297693607,1.9666493846993136,74-country LDC+AOSIS coalition,Grant-priority,0.2574618994268813,0.1638874487249428
