country,iso3,original_bloc,population_2024,gdp_2022_ppp_2011_intl_usd,co2_2024_mt,cumulative_co2_through_2024_mt,loan_eligible,member_74_country_ldc_aosis_coalition,member_20_country_selected_coalition,co2_per_capita_2024_t,cumulative_co2_per_capita_t,gdp_per_capita_2022_ppp_2011_intl_usd
Ethiopia,ETH,Global South & Climate-Vulnerable Coalition,132059770,269977225159,17.8,330.2,False,True,False,0.13478745268146386,2.500382970529178,2044.3563180444733
Fiji,FJI,Global South & Climate-Vulnerable Coalition,928800,,1.4,54.1,False,True,False,1.5073212747631353,58.24720068906115,
Gambia,GMB,Global South & Climate-Vulnerable Coalition,2759999,4656793663,0.8,17.7,False,True,False,0.28985517748375994,6.413045801828189,1687.244692117642
Grenada,GRD,Global South & Climate-Vulnerable Coalition,117218,,0.4,9.6,False,True,True,3.4124451875991744,81.89868450238018,
Guinea,GIN,Global South & Climate-Vulnerable Coalition,14754779,23678257190,4.0,105.9,False,True,False,0.27109860473003355,7.177335560227639,1604.7856216619714
Guinea-Bissau,GNB,Global South & Climate-Vulnerable Coalition,2201360,3259313986,0.3,8.3,False,True,False,0.1362793909219755,3.770396482174656,1480.5910827851874
Guyana,GUY,Global South & Climate-Vulnerable Coalition,831092,,4.5,117.3,False,True,False,5.414563008668114,141.1396090926155,
Haiti,HTI,Global South & Climate-Vulnerable Coalition,11772562,17550916862,3.0,88.8,False,True,False,0.25482983228289646,7.5429630355737345,1490.8324001181732
Jamaica,JAM,Global South & Climate-Vulnerable Coalition,2839182,20019224153,8.4,485.2,False,True,False,2.9585986386219694,170.89429279278326,7051.053491111172
Kiribati,KIR,Global South & Climate-Vulnerable Coalition,134521,,0.1,2.3,False,True,False,0.7433783572825061,17.09770221749764,
Laos,LAO,Global South & Climate-Vulnerable Coalition,7769823,54953902901,24.4,243.0,False,True,False,3.1403546773201914,31.274843712656004,7072.735492301434
Lesotho,LSO,Global South & Climate-Vulnerable Coalition,2337428,4761723180,2.6,72.3,False,True,False,1.1123337274987721,30.931434037754318,2037.163574664118
Liberia,LBR,Global South & Climate-Vulnerable Coalition,5612813,4231561135,0.9,52.5,False,True,False,0.16034740512466744,9.353598632272266,753.9109418040473
Madagascar,MDG,Global South & Climate-Vulnerable Coalition,31964960,38602188321,4.5,112.7,False,True,False,0.14077915317272413,3.5257356805702242,1207.6407516543115
Malawi,MWI,Global South & Climate-Vulnerable Coalition,21655288,26465351444,1.9,57.6,False,True,False,0.08773838519256821,2.6598584142589097,1222.1195785528228
Maldives,MDV,Global South & Climate-Vulnerable Coalition,527801,,2.3,33.7,False,True,True,4.357702997910197,63.84982218677115,
